RECEIVING DATE,Coil No,Coil_Details,Weight,Projects,Project_Manager,Coil_Ageing
15-07-2024,TC2ADF6952,0.5 X 1080 X RAL 9002,4660,DTA,Senthil,2
15-07-2024,TC2ADF6953,0.5 X 1080 X RAL 9002,4815,DTA,Senthil,2
15-07-2024,TC2ADF6954,0.5 X 1080 X RAL 9002,4225,DTA,Senthil,2
15-07-2024,TC2ADF6955,0.5 X 1080 X RAL 9002,4245,DTA,Senthil,2
15-07-2024,TC2ADF6956,0.5 X 1080 X RAL 9002,4470,DTA,Senthil,2
15-07-2024,,0.5 X 1150 X RAL 9002,4000,DTA,Senthil,2
16-07-2024,C0224G0207,0.4 X 1060 X RAL 9003,4300,ATS,Senthil,1
16-07-2024,C0224G0206,0.4 X 1060 X RAL 9003,4170,ATS,Senthil,1
17-07-2024,C0224G0201,0.5 X 1080 X RAL 9003,5080,DOOTH,Manoj,1
17-07-2024,C0224G0202,0.5 X 1080 X RAL 9003,4940,DOOTH,Manoj,1
17-07-2024,C0224G0204,0.5 X 1080 X RAL 9003,4080,DOOTH,Manoj,1
17-07-2024,C0224F1166,0.3 X 1060 X RAL 9002,1960,REGULAR,REGULAR,1
17-07-2024,C0224G0410,0.3 X 1060 X RAL 9002,4120,REGULAR,REGULAR,1
17-07-2024,C0224G0408,0.3 X 1060 X RAL 9002,4030,REGULAR,REGULAR,1
17-07-2024,C0224G0409,0.3 X 1060 X RAL 9002,4030,REGULAR,REGULAR,1
17-07-2024,C0224G0403,0.3 X 1060 X RAL 9002,3240,REGULAR,REGULAR,1
17-07-2024,C0224G0402,0.3 X 1060 X RAL 9002,3170,REGULAR,REGULAR,1
17-07-2024,C0224G0208,0.4 X 1060 X RAL 9003,4440,REGULAR,REGULAR,1
17-07-2024,C0224G0209,0.4 X 1060 X RAL 9003,4440,REGULAR,REGULAR,1
17-07-2024,C0224G0210,0.4 X 1060 X RAL 9003,4380,REGULAR,REGULAR,1
17-07-2024,C0224G0205,0.4 X 1060 X RAL 9003,4220,REGULAR,REGULAR,1
